Dia,Inflacion,Tasa_interes,Precio_Dolar
1,0.022483570765056166,5.46308877376582,4024.8335982446533
2,0.019308678494144076,5.954708320235065,4000.546336642117
3,0.02323844269050346,4.300716213090429,3979.6220449032053
4,0.027615149282040126,5.281484618345285,3940.361344787676
5,0.01882923312638332,4.674678715439087,4016.930225151565
6,0.0188293152152541,4.756437308117652,4005.8757592329616
7,0.027896064077536958,4.703803037880565,4038.3008434380886
8,0.023837173645764546,4.568004615160092,4030.8459786616504
9,0.01765262807032524,5.024260813972414,4050.7655532403073
10,0.022712800217929825,4.584524941794481,3981.935550047613
11,0.01768291153593769,5.135228412889919,4073.0540014600047
12,0.017671351232148715,4.974880945275432,4023.6654410282954
13,0.02120981135783017,4.880525976566795,4124.199746137161
14,0.01043359877671101,4.546218168979201,3992.1651471610717
15,0.011375410837434836,4.711614334715834,4116.957128978591
16,0.017188562353795137,5.377695612912878,4039.5562955147625
17,0.014935844398327881,5.250458593812191,4002.9116827608213
18,0.02157123666297637,4.511222377600724,4025.007731853872
19,0.015459879622393945,5.049666152714613,4031.5779489876168
20,0.012938481493323543,5.375693561685894,4070.039058001902
21,0.02732824384460777,4.165297359439315,4094.9544495763034
22,0.018871118497567323,5.271680096189968,4032.3724225406854
23,0.02033764102343962,4.668688120527077,4071.162917386368
24,0.012876259068932716,5.28529933429658,4176.8357764014145
25,0.01727808637737409,4.618370421728741,4168.649071563223
26,0.02055461294854933,4.09755894966774,4114.951516576734
27,0.014245032112888486,4.186228781058419,4097.886892520403
28,0.02187849009172836,5.024042473330691,4100.136839620951
29,0.016996806550405974,5.129861250860741,4127.776647437995
30,0.018541531251033617,4.547841687447796,4057.0902611158085
31,0.016991466938853016,5.319296229388687,4092.3365042227165
32,0.02926139092254469,4.16923996886552,4040.7306748019737
33,0.019932513876310332,4.966960100676341,4139.278057898762
34,0.014711445355220499,4.394491900118772,4161.357167054994
35,0.024112724560515945,4.67408194609892,4108.922402336145
36,0.01389578175014489,5.023699335658207,4211.241501157948
37,0.021044317975023777,4.569793317358024,4082.222647271308
38,0.010201649380601122,4.807722227885088,4070.7443635867785
39,0.013359069755507848,5.50314640460722,4153.862940833028
40,0.02098430617934562,4.711554065238426,4209.436235714093
41,0.02369233289997705,5.4178460560325705,4239.756390592563
42,0.020856841405949855,4.435146572671191,4146.875689411031
43,0.019421758588058797,5.2649020889576414,4220.1693724996
44,0.018494481522053557,5.72078431032895,4164.565629726086
45,0.012607390048162862,3.7641777499363553,4181.248335513228
46,0.016400778958026458,4.601552372264762,4231.447628943291
47,0.017696806145201062,5.28853606359027,4218.270144513808
48,0.02528561113109458,4.898477306978504,4117.252741307221
49,0.021718091447842307,5.185572936685654,4271.314906409007
50,0.011184799223186331,4.698007406642089,4274.261453485589
51,0.021620419846973975,5.04329489373645,4177.612999956553
52,0.01807458859791842,4.92216138230396,4234.183480568415
53,0.016615389998470207,5.5838910308299035,4237.185677005532
54,0.02305838144420434,5.127210421650607,4236.37326036353
55,0.025154997612479756,5.168801331037601,4200.827728519849
56,0.024656400595580993,4.794061516938767,4203.409496552827
57,0.015803912383886808,4.756196887963753,4239.321110047567
58,0.01845393812074393,4.783720906090189,4304.490029526215
59,0.02165631715701782,5.1972260711891485,4274.5390104492335
60,0.024877725635611796,4.789507759589869,4238.549750926919
61,0.01760412881077355,5.1448874284482065,4295.656887010089
62,0.019071705116680916,6.03770039932272,4111.010205998606
63,0.014468325129969858,5.435562351715846,4320.9763265274405
64,0.014018966879596646,4.836988233916079,4187.448222097854
65,0.02406262911197099,5.600606961081972,4255.684409141419
66,0.026781200142854115,4.795962313489224,4231.413122162371
67,0.01963994939209833,3.980937732411073,4234.384538768264
68,0.02501766448946012,4.495956844541298,4358.0853038214045
69,0.02180818012523817,4.064604039487072,4285.330535564583
70,0.016774401226974378,4.8242432579793455,4322.437641752137
71,0.02180697802754207,5.009209189594776,4306.923274765602
72,0.027690182832329845,5.8382186561376415,4331.0078913662455
73,0.019820869804450244,5.163463686882081,4321.170631645082
74,0.02782321827907003,4.890449735595568,4262.51053509043
75,0.006901274479551278,5.414702790591744,4372.046567962349
76,0.02410951252187612,3.8944323454960577,4321.189749891349
77,0.020435235341190856,5.117807279054283,4260.079879344708
78,0.018504963247670665,5.385432596943484,4318.440908631803
79,0.020458803882677512,4.26070687711008,4431.522681537151
80,0.010062155426995536,5.5718770216034645,4388.804747975039
81,0.018901640560812442,5.169248203747207,4339.655239354297
82,0.021785562857558734,4.792356043049599,4348.9706669250945
83,0.02738947022370758,5.3163909330531425,4351.232232153341
84,0.017408648908631762,6.1353464289021975,4465.965664670746
85,0.01595753198553406,5.090933127529247,4396.378947733392
86,0.017491214782077318,5.124110293150168,4403.759222384467
87,0.024577010588510372,4.770319550229878,4443.726379316996
88,0.02164375554829842,4.575077815267604,4410.5174309083095
89,0.017351198981164807,5.415167908272123,4381.366453422477
90,0.02256633716556678,4.571958087045567,4398.976194108409
91,0.0204853877467402,5.035783118609697,4405.159183392549
92,0.024843224952664448,4.761171276617442,4415.495820398866
93,0.01648973453061324,5.2394899128731955,4452.28452495924
94,0.01836168926701116,5.166831052643474,4424.601321617333
95,0.018039459234339212,5.51876997212895,4460.052195986357
96,0.012682425259339408,4.744991800572627,4431.0507380407125
97,0.02148060138532288,4.865062532353314,4444.577254469336
98,0.021305276360899447,4.5106181421088465,4349.244839624485
99,0.020025567283212305,4.777853369961944,4497.0429634921475
100,0.018827064333124265,5.1886502465224265,4469.2033341963
101,0.012923146289747929,5.378494308322676,4503.700191667706
102,0.017896773386173206,4.538917337911188,4323.377412388439
103,0.018286427417366153,5.4348029600528305,4568.727991121981
104,0.015988613653891905,5.677818929402475,4459.440052028995
105,0.019193571441669954,5.20671745161185,4532.180680609091
106,0.022020254284072692,5.938397906279033,4423.024775437748
107,0.029430929506052653,4.613105400448213,4525.393827149856
108,0.020872889064159194,4.377672648344292,4447.727073170706
109,0.02128775195361382,4.110639875547861,4476.962703600454
110,0.019627770421169165,5.748022155744591,4592.146900220128
111,0.010406143923504793,5.327182828177029,4494.2752804647635
112,0.019867430622753916,4.972207664544772,4525.123053138089
113,0.020301151049705132,5.139984313159911,4561.16377361278
114,0.03231621056242643,4.437255476350812,4556.874781747607
115,0.019038195176094386,6.222875989808413,4524.099824394314
116,0.021507736711668064,5.064610590987614,4551.903491555769
117,0.019826441151473785,5.054697397302446,4658.589093519184
118,0.014156609811902341,5.362883311949346,4536.321548991207
119,0.025714114072575102,5.240504615868357,4557.79272899158
