Temperatura,Hora,Dia_Semana,Consumo_Energia
28.89180538083319,1,1,401.99060199549655
22.244071418357333,2,2,334.8469105332774
20.909005582888465,3,3,326.92607965178496
24.98312771294524,4,4,383.0169513581758
24.149076887375358,5,5,388.74815130175716
22.733859753363625,6,6,341.83186540178735
28.481937237283578,7,7,420.8086478007489
29.776526042852552,8,1,427.7320567518412
25.442034431459238,9,2,417.12048398625274
32.38765040527631,10,3,486.10668719627995
19.291554429332475,11,4,356.08386369218454
24.03170270360141,12,5,387.1984238598446
21.415888396985977,13,6,347.791720690042
15.6673169146347,14,7,277.78260038903744
24.586596570786504,15,1,417.06522155744307
24.39126245808358,16,2,448.57287542581946
32.567248716210656,17,3,495.4755891348251
28.154058422773886,18,4,475.24311593693994
19.879065878353977,19,5,395.6696867939184
34.27046283167094,20,6,519.030903898166
31.105168477626766,21,7,521.378581526658
27.91048851734308,22,1,427.9316702838207
23.86757950575084,23,2,423.22078948274486
20.202803816382602,24,3,394.71539223665684
23.138966119644735,1,4,307.99536073909957
30.44374309852093,2,5,406.1626900089272
34.42293152967304,3,6,447.0300713578085
32.71621764136094,4,7,434.0419878571096
22.55575289106863,5,1,359.47915879333607
19.401912833554945,6,2,299.0170369526365
25.70443123455602,7,3,358.6807910094138
16.157803172185744,8,4,297.5044253620147
26.615838570923906,9,5,383.55374423631025
24.261987068506656,10,6,343.2103697777071
22.66981749065879,11,7,380.12506059741753
17.02648466366602,12,1,355.1668847667062
27.568000532848583,13,2,465.823223122459
22.336495801690443,14,3,388.10511244639883
19.15041582144856,15,4,367.0228001339437
10.638688933591753,16,5,298.78425380315576
24.862425474746818,17,6,402.7959389469995
33.86125798334872,18,7,529.826133514569
33.30629607273935,19,1,530.5708854102577
22.714518717068643,20,2,439.41942021753823
21.988939698191096,21,3,419.6112573994297
27.34387128037512,22,4,497.3638469987112
20.008072804058543,23,5,404.5512032914162
26.50895949909733,24,6,437.4100138016249
28.830401391923452,1,7,401.34254656552895
31.13466611942154,2,1,399.3960463747731
24.499229617600236,3,2,379.05346038088067
23.98163124911517,4,3,349.0114548623453
20.610087066217194,5,4,342.62109036612605
20.8655982298007,6,5,346.3513545953423
23.867605540492367,7,6,364.27891489123107
26.83682753408089,8,7,397.5389816933515
29.567923131166246,9,1,446.1318036555138
20.984105246598276,10,2,313.5645573403612
32.46344284479761,11,3,473.0010328259402
23.644381994787157,12,4,362.12253642643367
24.89316352825782,13,5,402.3553781574915
21.263941604260882,14,6,341.78056511494447
12.878798698635292,15,7,259.0889481618314
29.42022698180525,16,1,503.30095985313056
28.684219485462165,17,2,487.23114261710543
23.593362214408934,18,3,416.85077044520625
25.33495358612436,19,4,440.04490886622403
27.579696088520496,20,5,455.83864037034476
17.187270715567287,21,6,370.27023467526334
22.354736613268525,22,7,399.02627880170917
28.971323398109135,23,1,521.5880392384505
18.728552884153753,24,2,396.22379202125535
26.467789660833148,1,3,352.2809566917069
18.217090976882975,2,4,280.6051701385266
27.332149912167633,3,5,361.4985625231641
24.821792588512583,4,6,356.7915728750555
16.924340920472453,5,7,262.4961574184565
30.823696772285857,6,1,444.60743977923534
21.327042116009753,7,2,366.59055193832705
20.948737814928094,8,3,326.1009444131175
26.002845986154714,9,4,390.41695071564374
30.743186747143575,10,5,451.6584817321442
19.920890905108017,11,6,327.491761951452
25.30839924923986,12,7,401.37040370893186
27.144082501652864,13,1,444.5488022295635
28.46552803631572,14,2,470.3205158890433
25.882207776386124,15,3,412.702276842163
23.164860804583387,16,4,380.79310324122434
20.862048896756402,17,5,372.46894117628915
25.430719415231874,18,6,406.9521473613768
19.639304940071966,19,7,381.68301348166955
10.393247582526964,20,1,277.69744982174143
27.182799020788337,21,2,517.4883185729371
29.519674205430977,22,3,522.1152992857848
